start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_raw,fight
21/4/18 23:53,24,bat,21/4/18 23:50,21/4/18 23:56,196,1,1,4,21/4/18 19:14,4.664166667,1,pick_and_bat,0
21/4/18 23:54,1,fast,21/4/18 23:50,21/4/18 23:56,258,0,1,4,21/4/18 19:14,4.681388889,1,fast,0
21/4/18 23:55,19,fast,21/4/18 23:50,21/4/18 23:56,287,0,1,4,21/4/18 19:14,4.689444444,1,fast,0
22/4/18 01:25,3,fast,22/4/18 01:25,22/4/18 01:26,0,0,1,4,21/4/18 19:14,6.1875,1,fast,0
22/4/18 01:25,6,pick,22/4/18 01:25,22/4/18 01:26,14,0,1,4,21/4/18 19:14,6.191388889,1,pick,0
22/4/18 01:26,1,fast,22/4/18 01:25,22/4/18 01:26,48,0,1,4,21/4/18 19:14,6.200833333,1,fast,0
22/4/18 01:49,7,bat,22/4/18 01:48,22/4/18 01:50,28,1,0,4,21/4/18 19:14,6.583333333,1,bats,0
22/4/18 01:49,1,pick,22/4/18 01:48,22/4/18 01:50,59,0,1,4,21/4/18 19:14,6.591944444,1,pick,0
22/4/18 01:50,16,bat,22/4/18 01:48,22/4/18 01:50,109,1,0,4,21/4/18 19:14,6.605833333,1,bats,0
22/4/18 02:13,11,pick,22/4/18 02:13,22/4/18 02:17,23,0,1,4,21/4/18 19:14,6.989722222,1,pick,0
22/4/18 02:15,18,pick,22/4/18 02:13,22/4/18 02:17,141,0,1,4,21/4/18 19:14,7.0225,1,pick,0
22/4/18 02:16,2,pick,22/4/18 02:13,22/4/18 02:17,191,0,1,4,21/4/18 19:14,7.036388889,1,pick,0
22/4/18 03:36,2,fast,22/4/18 03:31,22/4/18 03:44,309,0,1,4,21/4/18 19:14,8.379722222,1,fast,0
22/4/18 03:39,1,fast,22/4/18 03:31,22/4/18 03:44,482,0,1,4,21/4/18 19:14,8.427777778,1,fast,0
22/4/18 03:39,7,pick,22/4/18 03:31,22/4/18 03:44,501,0,1,4,21/4/18 19:14,8.433055556,1,pick,0
22/4/18 03:42,6,pick,22/4/18 03:31,22/4/18 03:44,659,0,1,4,21/4/18 19:14,8.476944444,1,pick,0
22/4/18 03:43,5,fast,22/4/18 03:31,22/4/18 03:44,707,0,1,4,21/4/18 19:14,8.490277778,1,fast,0
22/4/18 03:43,2,fast,22/4/18 03:31,22/4/18 03:44,722,0,1,4,21/4/18 19:14,8.494444444,1,fast,0
22/4/18 03:43,23,rat,22/4/18 03:31,22/4/18 03:44,734,1,0,4,21/4/18 19:14,8.497777778,1,bat_and_rat,0
22/4/18 03:44,13,rat,22/4/18 03:31,22/4/18 03:44,769,1,1,4,21/4/18 19:14,8.5075,1,pick_and_rat,0
22/4/18 03:42,71,bat,22/4/18 03:31,22/4/18 03:44,666,1,0,4,21/4/18 19:14,8.478888889,1,bat,0
22/4/18 05:27,2,fast,22/4/18 05:21,22/4/18 05:55,372,0,1,4,21/4/18 19:14,10.23305556,1,fast,0
18/4/18 05:19,1,fast,18/4/18 05:15,18/4/18 05:25,263,0,1,4,17/4/18 19:11,10.14944444,1,fast,0
28/4/18 20:39,0.094784549,fast,28/4/18 20:37,28/4/18 20:44,105,0,1,4,28/4/18 19:19,1.341944444,1,fast,0
28/4/18 20:40,0.076254237,other,28/4/18 20:37,28/4/18 20:44,166,1,0,4,28/4/18 19:19,1.358888889,1,others,0
28/4/18 20:44,0.014184241,rat,28/4/18 20:37,28/4/18 20:44,383,1,0,4,28/4/18 19:19,1.419166667,1,rat,0
28/4/18 21:30,9,rat,28/4/18 21:30,28/4/18 21:31,0,1,0,4,28/4/18 19:19,2.198055556,1,rat,0
28/4/18 21:31,28,rat,28/4/18 21:30,28/4/18 21:31,46,1,1,4,28/4/18 19:19,2.210833333,1,rat_and_pick,0
28/4/18 23:02,1,fast,28/4/18 23:01,28/4/18 23:12,85,0,1,4,28/4/18 19:19,3.725555556,1,fast,0
28/4/18 23:04,5,fast,28/4/18 23:01,28/4/18 23:12,188,0,1,4,28/4/18 19:19,3.754166667,1,fast,0
28/4/18 23:21,0.047647063,bat,28/4/18 23:21,28/4/18 23:24,0,1,0,4,28/4/18 19:19,4.036944444,1,bat_fight,1
28/4/18 23:22,0.090449811,rat,28/4/18 23:21,28/4/18 23:24,63,1,0,4,28/4/18 19:19,4.054444444,1,rat,0
28/4/18 23:23,3,fast,28/4/18 23:21,28/4/18 23:24,139,0,1,4,28/4/18 19:19,4.075555556,1,fast,0
28/4/18 23:24,14,pick,28/4/18 23:21,28/4/18 23:24,171,0,1,4,28/4/18 19:19,4.084444444,1,pick,0
29/4/18 00:22,17,rat,29/4/18 00:22,29/4/18 00:27,28,1,0,4,28/4/18 19:19,5.060833333,1,rat,0
29/4/18 00:23,20,rat,29/4/18 00:22,29/4/18 00:27,82,1,0,4,28/4/18 19:19,5.075833333,1,rat,0
29/4/18 00:25,0.099179779,rat,29/4/18 00:22,29/4/18 00:27,206,1,0,4,28/4/18 19:19,5.110277778,1,rat,0
29/4/18 00:27,11,pick,29/4/18 00:22,29/4/18 00:27,309,0,1,4,28/4/18 19:19,5.138888889,1,pick,0
29/4/18 00:55,2,fast,29/4/18 00:55,29/4/18 00:56,8,0,1,4,28/4/18 19:19,5.611111111,1,fast,0
29/4/18 00:55,0.043720185,rat,29/4/18 00:55,29/4/18 00:56,11,1,0,4,28/4/18 19:19,5.611944444,1,rat,0
29/4/18 00:56,174,rat,29/4/18 00:55,29/4/18 00:56,50,1,1,4,28/4/18 19:19,5.622777778,1,pick_rat_bat,0
29/4/18 01:03,2,rat,29/4/18 01:02,29/4/18 01:06,47,1,0,4,28/4/18 19:19,5.735277778,1,rat,0
29/4/18 01:03,6,rat,29/4/18 01:02,29/4/18 01:06,66,1,0,4,28/4/18 19:19,5.740555556,1,rat,0
29/4/18 01:03,5,rat,29/4/18 01:02,29/4/18 01:06,78,1,0,4,28/4/18 19:19,5.743888889,1,rat_and_bat,0
29/4/18 01:03,3,fast,29/4/18 01:02,29/4/18 01:06,87,0,1,4,28/4/18 19:19,5.746388889,1,fast,0
29/4/18 01:04,0.069546705,rat,29/4/18 01:02,29/4/18 01:06,132,1,0,4,28/4/18 19:19,5.758888889,1,rat,0
29/4/18 01:04,0.035887407,bat,29/4/18 01:02,29/4/18 01:06,143,1,0,4,28/4/18 19:19,5.761944444,1,bat,0
29/4/18 01:05,5,pick,29/4/18 01:02,29/4/18 01:06,172,0,1,4,28/4/18 19:19,5.77,1,pick,0
29/4/18 01:05,6,fast,29/4/18 01:02,29/4/18 01:06,182,0,1,4,28/4/18 19:19,5.772777778,1,fast,0
29/4/18 01:05,0.087634798,fast,29/4/18 01:02,29/4/18 01:06,206,0,1,4,28/4/18 19:19,5.779444444,1,fast,0
29/4/18 01:05,3,fast,29/4/18 01:02,29/4/18 01:06,211,0,1,4,28/4/18 19:19,5.780833333,1,fast,0
29/4/18 01:20,0.038141769,pick,29/4/18 01:19,29/4/18 01:24,5,0,1,4,28/4/18 19:19,6.0175,1,pick,0
29/4/18 01:20,0.09694048,bat,29/4/18 01:19,29/4/18 01:24,38,1,1,4,28/4/18 19:19,6.026666667,1,bat_and_pick_far,0
29/4/18 01:20,2,fast,29/4/18 01:19,29/4/18 01:24,58,0,1,4,28/4/18 19:19,6.032222222,1,fast,0
29/4/18 01:21,2,fast,29/4/18 01:19,29/4/18 01:24,119,0,1,4,28/4/18 19:19,6.049166667,1,fast,0
29/4/18 01:43,4,fast,29/4/18 01:41,29/4/18 01:51,105,0,1,4,28/4/18 19:19,6.409444444,1,fast,0
29/4/18 01:44,5,pick,29/4/18 01:41,29/4/18 01:51,180,0,1,4,28/4/18 19:19,6.430277778,1,pick,0
29/4/18 01:44,3,fast,29/4/18 01:41,29/4/18 01:51,187,0,1,4,28/4/18 19:19,6.432222222,1,fast,0
29/4/18 01:45,5,pick,29/4/18 01:41,29/4/18 01:51,247,0,1,4,28/4/18 19:19,6.448888889,1,pick,0
29/4/18 01:46,0.020820512,fast,29/4/18 01:41,29/4/18 01:51,252,0,1,4,28/4/18 19:19,6.450277778,1,fast,0
29/4/18 01:48,9,bat,29/4/18 01:41,29/4/18 01:51,419,1,0,4,28/4/18 19:19,6.496666667,1,bat,0
29/4/18 01:49,1,fast,29/4/18 01:41,29/4/18 01:51,436,0,1,4,28/4/18 19:19,6.501388889,1,fast_far,0
29/4/18 01:51,21,pick,29/4/18 01:41,29/4/18 01:51,572,0,1,4,28/4/18 19:19,6.539166667,1,pick,0
29/4/18 01:51,4,bat,29/4/18 01:41,29/4/18 01:51,592,1,0,4,28/4/18 19:19,6.544722222,1,bat,0
29/4/18 02:51,1,fast,29/4/18 02:51,29/4/18 03:06,36,0,1,4,28/4/18 19:19,7.544166667,1,fast,0
29/4/18 02:52,31,pick,29/4/18 02:51,29/4/18 03:06,80,0,1,4,28/4/18 19:19,7.556388889,1,pick,0
29/4/18 02:53,6,pick,29/4/18 02:51,29/4/18 03:06,169,0,1,4,28/4/18 19:19,7.581111111,1,pick,0
29/4/18 02:58,2,bat,29/4/18 02:51,29/4/18 03:06,452,1,0,4,28/4/18 19:19,7.659722222,1,bat,0
29/4/18 02:58,0.071250736,bat,29/4/18 02:51,29/4/18 03:06,466,1,1,4,28/4/18 19:19,7.663611111,1,bat_and_pick,0
29/4/18 02:59,4,pick,29/4/18 02:51,29/4/18 03:06,485,0,1,4,28/4/18 19:19,7.668888889,1,pick,0
29/4/18 02:59,7,pick,29/4/18 02:51,29/4/18 03:06,499,0,1,4,28/4/18 19:19,7.672777778,1,pick,0
29/4/18 03:04,3,fast,29/4/18 02:51,29/4/18 03:06,783,0,1,4,28/4/18 19:19,7.751666667,1,fast,0
29/4/18 03:06,0.014550835,pick,29/4/18 02:51,29/4/18 03:06,903,1,1,4,28/4/18 19:19,7.785,1,pick_and_all,0
29/4/18 03:14,72,bat,29/4/18 03:11,29/4/18 03:15,211,1,1,4,28/4/18 19:19,7.925833333,1,pick_and_bat,0
29/4/18 03:34,2,bat,29/4/18 03:33,29/4/18 03:48,26,1,0,4,28/4/18 19:19,8.252222222,1,bat,0
29/4/18 03:34,12,pick,29/4/18 03:33,29/4/18 03:48,63,0,1,4,28/4/18 19:19,8.2625,1,pick,0
29/4/18 03:40,0.025349973,bat,29/4/18 03:33,29/4/18 03:48,402,1,0,4,28/4/18 19:19,8.356666667,1,bats,0
29/4/18 03:45,0.094601342,rat,29/4/18 03:33,29/4/18 03:48,708,1,0,4,28/4/18 19:19,8.441666667,1,rat,0
29/4/18 03:46,26,rat,29/4/18 03:33,29/4/18 03:48,740,1,1,4,28/4/18 19:19,8.450555556,1,rat_pick,0
29/4/18 04:34,0.044300625,fast,29/4/18 04:31,29/4/18 04:37,192,0,1,4,28/4/18 19:19,9.265,1,fast,0
29/4/18 04:36,0.09536188,fast,29/4/18 04:31,29/4/18 04:37,315,0,1,4,28/4/18 19:19,9.299166667,1,fast,0
29/4/18 05:00,0.091074825,fast,29/4/18 04:58,29/4/18 05:00,109,0,1,4,28/4/18 19:19,9.688333333,1,fast,0
28/4/18 23:21,2,fast,28/4/18 23:21,28/4/18 23:24,44,0,1,4,28/4/18 19:19,4.049166667,1,fast,0
28/4/18 23:22,1,pick,28/4/18 23:21,28/4/18 23:24,60,0,1,4,28/4/18 19:19,4.053611111,1,pick,0
28/4/18 23:22,80,rat,28/4/18 23:21,28/4/18 23:24,71,1,0,4,28/4/18 19:19,4.056666667,1,rat,0
29/4/18 02:51,67,bat,29/4/18 02:51,29/4/18 03:06,41,1,0,4,28/4/18 19:19,7.545555556,1,bat,0
29/4/18 02:52,1,fast,29/4/18 02:51,29/4/18 03:06,66,0,1,4,28/4/18 19:19,7.5525,1,fast,0
29/4/18 03:06,2,other,29/4/18 02:51,29/4/18 03:06,902,0,0,4,28/4/18 19:19,7.784722222,1,fight,1
29/4/18 03:46,105,rat,29/4/18 03:33,29/4/18 03:48,773,1,1,4,28/4/18 19:19,8.459722222,1,rat_and_pick,0
29/4/18 20:43,0.017597713,fast,29/4/18 20:37,29/4/18 20:53,389,0,1,4,29/4/18 19:19,1.414722222,1,fast,0
29/4/18 20:48,0.032534418,fast,29/4/18 20:37,29/4/18 20:53,695,0,1,4,29/4/18 19:19,1.499722222,1,fast,0
29/4/18 20:49,4,fast,29/4/18 20:37,29/4/18 20:53,710,0,1,4,29/4/18 19:19,1.503888889,1,fast,0
29/4/18 20:50,14,rat,29/4/18 20:37,29/4/18 20:53,759,1,1,4,29/4/18 19:19,1.5175,1,bat_rat_pick,0
29/4/18 22:53,20,rat,29/4/18 22:53,29/4/18 23:06,4,1,0,4,29/4/18 19:19,3.5725,1,rat_and_bat,0
29/4/18 22:53,2,fast,29/4/18 22:53,29/4/18 23:06,9,0,1,4,29/4/18 19:19,3.573888889,1,fast,0
29/4/18 22:54,36,rat,29/4/18 22:53,29/4/18 23:06,67,1,0,4,29/4/18 19:19,3.59,1,rat,0
